Product ID,Store ID,Price,Competitor Prices,Discounts,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost,Elasticity Index,Price-to-Sales Ratio
9502,13,31.61,56.14,19.68,255,3,13.33,6.72,1.78,0.1239607843137255
7103,59,6.54,30.61,10.86,184,3,9.44,3.86,2.46,0.035543478260869565
5288,19,13.61,15.94,45.28,337,1,15.11,8.8,0.88,0.04038575667655786
4809,6,44.87,68.31,28.35,452,4,3.05,7.01,1.48,0.09926991150442477
2127,6,34.99,88.04,27.67,233,2,3.62,7.76,2.45,0.1501716738197425
2914,86,27.91,59.28,5.15,427,2,18.96,6.29,1.7,0.06536299765807962
7111,38,57.49,8.87,21.56,326,4,6.01,5.28,1.99,0.17634969325153374
6842,9,12.02,59.85,41.37,391,3,19.53,3.96,1.5,0.03074168797953964
8681,5,59.02,94.67,47.4,480,4,0.29,7.59,1.72,0.12295833333333334
7044,39,20.23,5.57,6.96,345,3,13.68,4.46,2.37,0.05863768115942029
2376,48,39.26,91.32,20.39,274,2,10.96,7.93,2.32,0.1432846715328467
9814,28,74.7,7.05,40.96,430,1,10.73,4.34,1.31,0.17372093023255814
3161,95,73.32,85.14,4.17,172,2,3.88,4.13,1.08,0.42627906976744184
9681,62,47.46,5.97,25.59,233,4,15.9,7.94,0.97,0.2036909871244635
3684,76,20.31,82.82,12.55,309,1,17.16,2.84,0.78,0.06572815533980582
2211,22,88.65,54.55,5.21,376,2,14.8,7.08,2.15,0.2357712765957447
1343,74,68.81,35.24,11.05,330,3,13.49,9.7,1.97,0.20851515151515151
6001,11,43.99,15.64,44.21,184,4,17.62,5.69,0.6,0.23907608695652174
9130,56,46.39,74.51,13.39,355,4,12.19,3.93,1.59,0.13067605633802817
2760,92,32.47,99.4,15.18,363,2,12.49,7.3,0.57,0.08944903581267218
8445,49,65.6,44.04,1.02,183,2,4.51,5.03,2.1,0.3584699453551912
6990,45,70.35,96.04,35.14,209,1,5.13,8.12,0.96,0.3366028708133971
7309,38,5.48,11.21,49.21,472,1,14.93,8.56,2.08,0.011610169491525425
2665,32,98.37,87.65,6.91,213,3,11.97,5.32,2.04,0.461830985915493
6911,11,32.66,29.86,36.59,224,1,13.84,2.94,0.89,0.14580357142857142
8109,68,94.26,29.21,19.33,345,1,16.02,6.6,2.02,0.27321739130434786
1792,12,40.25,13.52,10.14,251,1,19.09,7.69,1.95,0.1603585657370518
6020,24,47.43,27.33,30.11,201,2,19.6,3.57,1.54,0.23597014925373133
6654,28,92.37,47.49,21.28,225,2,10.56,4.43,1.93,0.41053333333333336
7945,59,32.07,65.22,25.07,130,3,15.34,6.84,2.44,0.24669230769230768
5279,16,35.31,17.69,25.34,84,3,4.67,9.1,1.4,0.4203571428571429
2220,30,47.39,14.75,4.01,359,3,17.83,4.27,0.51,0.13200557103064067
4303,91,26.27,56.06,2.34,98,2,6.32,7.59,1.03,0.2680612244897959
9252,6,58.19,89.62,18.72,193,2,11.38,2.05,2.43,0.3015025906735751
2324,96,29.39,58.88,43.85,251,2,17.93,8.53,2.24,0.11709163346613546
2543,63,29.91,95.4,1.69,165,4,4.16,5.46,2.45,0.18127272727272728
6634,45,50.62,88.05,15.84,244,2,17.06,7.91,2.31,0.2074590163934426
9183,31,70.96,90.57,26.63,265,1,0.54,4.98,1.12,0.26777358490566033
8470,6,18.36,27.78,15.9,291,1,9.53,2.35,1.45,0.06309278350515464
9548,93,14.05,79.26,5.25,325,2,13.59,5.12,1.16,0.04323076923076923
4764,85,95.18,16.7,27.42,322,4,14.15,3.2,1.34,0.2955900621118013
9086,97,27.77,20.67,31.19,438,1,17.05,5.29,1.67,0.06340182648401826
1791,72,5.64,29.04,49.37,445,1,18.06,9.65,0.73,0.012674157303370785
2868,45,23.87,36.91,48.94,320,1,12.38,8.04,1.16,0.07459375
4021,58,56.06,46.85,5.89,355,1,17.98,7.21,0.69,0.15791549295774648
9935,64,22.83,16.55,9.19,222,4,1.79,3.25,1.34,0.10283783783783783
6738,4,7.61,37.74,9.37,23,3,8.86,5.54,1.59,0.3308695652173913
8963,71,11.08,90.39,7.2,490,2,12.1,2.77,1.4,0.022612244897959183
7519,52,55.71,9.49,13.66,168,2,14.39,2.52,1.17,0.3316071428571429
9482,4,75.8,58.65,22.42,247,2,3.91,3.92,1.33,0.3068825910931174
2048,83,62.45,57.31,30.81,147,1,11.25,7.45,2.08,0.4248299319727891
3545,61,65.24,58.93,23.81,361,1,12.58,6.85,1.93,0.1807202216066482
6288,33,55.43,87.73,31.62,427,4,7.49,9.62,1.18,0.12981264637002343
3870,49,85.07,74.04,46.61,449,3,14.29,3.25,1.05,0.18946547884187082
6504,5,47.24,84.85,12.53,374,2,9.39,4.06,1.31,0.1263101604278075
3504,16,64.96,22.62,27.45,133,1,11.24,7.53,1.95,0.4884210526315789
2823,21,81.95,60.08,2.11,325,4,4.07,9.69,1.9,0.2521538461538462
7536,44,60.49,11.15,28.67,442,4,0.35,1.38,2.07,0.1368552036199095
1392,91,51.02,29.15,26.47,159,2,6.72,3.43,2.08,0.3208805031446541
5704,38,38.1,62.69,9.66,287,3,10.26,7.33,0.73,0.13275261324041812
4031,72,86.89,20.23,16.35,350,3,6.18,1.55,1.77,0.24825714285714287
1248,38,74.83,17.01,30.49,337,3,6.29,7.84,2.28,0.22204747774480713
7667,97,76.05,76.59,22.3,160,1,2.48,3.29,2.47,0.47531249999999997
9299,70,11.97,86.19,39.03,76,1,11.53,2.52,2.32,0.1575
9379,94,55.43,26.25,4.6,168,4,11.29,8.38,2.22,0.3299404761904762
3312,84,21.99,99.72,30.67,139,3,18.41,5.56,1.53,0.15820143884892085
9188,84,90.29,63.59,42.0,300,1,7.22,4.39,1.68,0.30096666666666666
2679,91,30.18,56.55,49.45,210,2,3.32,6.75,2.02,0.1437142857142857
6095,6,78.83,50.07,13.52,258,3,0.59,6.83,1.1,0.3055426356589147
9792,69,84.97,45.12,37.72,360,2,4.87,6.14,0.72,0.23602777777777778
1150,56,43.68,69.37,17.86,404,3,2.78,1.49,1.34,0.10811881188118812
6273,15,41.25,90.02,41.48,229,1,17.71,7.09,0.66,0.18013100436681223
7654,54,27.35,84.46,16.04,223,3,3.05,9.26,1.39,0.12264573991031391
5512,6,46.78,66.57,44.84,416,2,18.5,6.49,0.72,0.11245192307692307
5457,24,7.66,89.45,6.94,56,3,16.59,6.78,0.75,0.1367857142857143
2511,69,9.17,24.54,40.41,332,2,3.56,7.47,2.34,0.027620481927710844
4716,49,76.51,50.43,26.4,493,4,17.23,2.07,1.15,0.15519269776876268
3305,45,10.81,77.38,39.73,215,1,13.32,5.85,2.07,0.05027906976744186
7673,62,23.04,69.61,32.87,272,4,3.92,7.55,1.21,0.08470588235294117
6336,87,68.78,79.18,28.98,439,2,14.18,6.61,1.9,0.1566742596810934
9386,29,17.01,68.19,21.36,360,4,3.27,3.71,2.12,0.04725000000000001
